,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Batch,MouseID,SampleType,Genotype,Sex
G10_FP-COL,537.533,1.781,21.139,186.369,0.152,117.351,One,G10,FP-COL,WT,Male
G11_FP-COL,690.974,1.89,26.643,270.496,0.193,128.471,One,G11,FP-COL,WT,Male
G12_FP-COL,822.889,2.191,39.766,291.656,0.204,135.951,One,G12,FP-COL,WT,Male
G13_FP-COL,723.302,1.711,29.045,272.788,0.196,126.166,One,G13,FP-COL,WT,Male
G15_FP-COL,835.998,2.884,33.519,322.528,0.253,171.201,One,G15,FP-COL,WT,Male
G16_FP-COL,878.904,2.775,32.181,329.512,0.231,149.91,One,G16,FP-COL,WT,Male
G17_FP-COL,736.541,1.678,35.42,299.388,0.213,127.9,One,G17,FP-COL,WT,Male
G6_FP-COL,666.642,2.824,42.745,282.418,0.251,136.694,One,G6,FP-COL,WT,Male
G7_FP-COL,691.645,1.975,43.539,308.204,0.234,139.042,One,G7,FP-COL,WT,Male
G8_FP-COL,555.022,2.067,28.256,232.244,0.198,107.395,One,G8,FP-COL,WT,Male
J1 FP-COL,948.892,2.32,41.735,393.331,0.322,186.234,Three,J1,FP-COL,WT,Female
J10 FP-COL,837.767,1.839,55.099,378.275,0.37,148.788,Three,J10,FP-COL,WT,Female
J11 FP-COL,871.156,2.78,50.113,631.358,0.35,183.776,Three,J11,FP-COL,WT,Female
J12 FP-COL,838.543,2.376,42.475,432.115,0.344,237.478,Three,J12,FP-COL,WT,Female
J13 FP-COL,938.123,2.419,45.975,417.847,0.357,190.147,Three,J13,FP-COL,WT,Female
J14 FP-COL,1085.763,2.336,63.946,498.55,0.354,194.885,Three,J14,FP-COL,WT,Female
J15 FP-COL,757.664,1.619,48.622,383.425,0.258,130.173,Three,J15,FP-COL,WT,Female
J2 FP-COL,740.651,1.99,36.973,396.711,0.356,167.84,Three,J2,FP-COL,WT,Female
J6 FP-COL,902.237,1.684,46.833,359.511,0.321,129.424,Three,J6,FP-COL,WT,Female
J7 FP-COL,921.316,1.975,40.453,380.183,0.328,128.081,Three,J7,FP-COL,WT,Female
J9 FP-COL,1068.667,2.462,63.304,452.783,0.388,203.406,Three,J9,FP-COL,WT,Female
K1 FP-COL,900.121,2.261,37.834,376.108,0.333,145.646,Three,K1,FP-COL,MUT,Female
K10 FP-COL,737.748,2.402,44.504,381.933,0.259,139.455,Three,K10,FP-COL,MUT,Female
K11 FP-COL,813.992,2.121,47.283,444.656,0.342,181.096,Three,K11,FP-COL,MUT,Female
K2 FP-COL,842.115,2.164,32.891,351.311,0.266,149.397,Three,K2,FP-COL,MUT,Female
K3 FP-COL,992.533,1.684,43.637,359.156,0.298,138.381,Three,K3,FP-COL,MUT,Female
K5 FP-COL,956.886,1.912,31.004,320.094,0.268,119.375,Three,K5,FP-COL,MUT,Female
K6 FP-COL,648.088,1.398,32.917,338.876,0.268,110.983,Three,K6,FP-COL,MUT,Female
K7 FP-COL,644.482,1.255,30.112,301.444,0.287,146.766,Three,K7,FP-COL,MUT,Female
K8 FP-COL,694.399,1.495,27.2,312.547,0.27,138.286,Three,K8,FP-COL,MUT,Female
K9 FP-COL,312.241,1.005,44.055,146.633,0.126,136.265,Three,K9,FP-COL,MUT,Female
Y10_FP-COL,709.828,2.156,31.535,270.667,0.175,96.935,One,Y10,FP-COL,MUT,Male
Y11_FP-COL,626.186,2.246,25.274,242.601,0.156,107.359,One,Y11,FP-COL,MUT,Male
Y12_FP-COL,786.985,2.427,39.561,293.344,0.201,133.153,One,Y12,FP-COL,MUT,Male
Y13_FP-COL,650.053,2.047,42.279,299.37,0.2,116.76,One,Y13,FP-COL,MUT,Male
Y14_FP-COL,531.313,1.676,29.981,240.533,0.176,134.95,One,Y14,FP-COL,MUT,Male
Y5_FP-COL,539.601,2.051,24.62,241.041,0.234,92.701,One,Y5,FP-COL,MUT,Male
Y6_FP-COL,503.535,1.844,26.94,225.154,0.173,108.119,One,Y6,FP-COL,MUT,Male
Y7_FP-COL,527.889,1.365,25.531,239.736,0.19,87.784,One,Y7,FP-COL,MUT,Male
Y8_FP-COL,578.06,1.76,30.223,250.711,0.211,102.332,One,Y8,FP-COL,MUT,Male
Y9_FP-COL,546.23,1.646,22.159,254.93,0.193,71.952,One,Y9,FP-COL,MUT,Male
G10_MUC-COL,118.764,n/a,36.913,125.251,n/a,6.981,One,G10,MUC-COL,WT,Male
G11_MUC-COL,162.875,n/a,32.078,87.918,n/a,3.355,One,G11,MUC-COL,WT,Male
G12_MUC-COL,221.672,0.411,29.648,133.705,n/a,5.262,One,G12,MUC-COL,WT,Male
G13_MUC-COL,386.06,n/a,149.587,990.004,n/a,6.15,One,G13,MUC-COL,WT,Male
G14 MUC-COL,94.098,0.161,13.665,50.695,0,4.951,Three,G14,MUC-COL,WT,Male
G15_MUC-COL,69.661,n/a,14.475,81.896,n/a,2.87,One,G15,MUC-COL,WT,Male
G16_MUC-COL,0,n/a,1.467,23.627,n/a,0.975,One,G16,MUC-COL,WT,Male
G17_MUC-COL,82.35,n/a,16.846,81.641,n/a,3.44,One,G17,MUC-COL,WT,Male
G6_MUC-COL,91.187,n/a,75.062,315.545,n/a,3.448,One,G6,MUC-COL,WT,Male
G7_MUC-COL,0,0,0,32.046,n/a,0,One,G7,MUC-COL,WT,Male
G8_MUC-COL,303.689,n/a,35.859,75.2,n/a,13.924,One,G8,MUC-COL,WT,Male
G9 MUC-COL,225.964,0,80.402,161.21,0,2.937,Three,G9,MUC-COL,WT,Male
J1 MUC-COL,51.708,0.016,7.538,53.576,n/a,2.061,Three,J1,MUC-COL,WT,Female
J10 MUC-COL,1063.058,0,54.049,541.877,n/a,12.506,Three,J10,MUC-COL,WT,Female
J11 MUC-COL,228.422,n/a,216.715,295.903,0,8.761,Three,J11,MUC-COL,WT,Female
J12 MUC-COL,155.636,0,174.394,317.262,0,10.386,Three,J12,MUC-COL,WT,Female
J13 MUC-COL,183.112,0,161.105,318.621,n/a,10.644,Three,J13,MUC-COL,WT,Female
J14 MUC-COL,135.054,0,76.915,179.281,n/a,5.92,Three,J14,MUC-COL,WT,Female
J15 MUC-COL,228.773,0.169,29.865,144.472,n/a,8.156,Three,J15,MUC-COL,WT,Female
J2 MUC-COL,352.685,0.379,47.094,346.254,0.103,32.325,Three,J2,MUC-COL,WT,Female
J6 MUC-COL,363.714,n/a,50.78,238.55,n/a,11.731,Three,J6,MUC-COL,WT,Female
J7 MUC-COL,405.794,0.1,51.082,279.747,n/a,14.087,Three,J7,MUC-COL,WT,Female
J9 MUC-COL,467.587,0.06,45.848,416.976,n/a,13.603,Three,J9,MUC-COL,WT,Female
K1 MUC-COL,460.477,0.113,62.996,358.09,0,21.105,Three,K1,MUC-COL,MUT,Female
K10 MUC-COL,173.05,0.05,132.43,188.198,n/a,7.542,Three,K10,MUC-COL,MUT,Female
