SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Genotype,Sex
G10,3725.813,0.021,2.629,23.720,0.000,0.061,2.986,WT,Male
G11,3164.237,0.013,2.286,22.854,0.000,0.055,2.998,WT,Male
G12,3123.429,0.015,2.813,23.050,0.004,0.145,3.901,WT,Male
G13,2932.138,0.014,2.334,21.109,0.000,0.049,3.615,WT,Male
G15,3881.182,0.022,3.389,29.672,0.000,0.064,4.690,WT,Male
G16,3962.776,0.031,3.826,30.580,0.000,0.070,4.817,WT,Male
G17,3069.892,0.008,2.847,21.914,0.000,0.083,3.485,WT,Male
G6,3944.658,0.007,3.272,30.770,0.000,0.064,4.493,WT,Male
G7,4144.641,0.008,3.481,32.881,0.000,0.065,4.587,WT,Male
G8,3577.137,0.007,2.963,27.134,0.000,0.118,3.890,WT,Male
J1,4442.122,0.007,4.027,32.603,0.000,0.122,5.782,WT,Female
J10,3993.470,0.012,4.280,32.629,0.000,0.070,5.783,WT,Female
J11,4422.108,0.009,4.600,35.152,0.000,0.111,5.861,WT,Female
J14,3033.538,0.007,2.997,23.747,0.000,0.084,4.698,WT,Female
J2,3172.961,0.196,11.128,36.117,0.000,0.097,5.706,WT,Female
J3,3468.668,0.008,3.012,28.337,0.000,0.078,4.339,WT,Female
J5,3140.815,0.006,3.060,24.787,0.000,0.082,5.261,WT,Female
J7,3360.735,0.007,3.747,28.097,0.000,0.102,4.619,WT,Female
J8,4056.275,0.008,3.877,32.565,0.000,0.102,6.151,WT,Female
J9,4171.654,0.009,4.281,35.652,0.000,0.116,6.187,WT,Female
K1,3946.661,0.016,4.320,33.850,0.000,0.113,5.944,MUT,Female
K10,4128.771,0.069,4.022,33.811,0.000,0.102,6.249,MUT,Female
K11,3856.889,0.006,3.514,32.964,0.000,0.099,5.362,MUT,Female
K2,3349.373,0.010,4.493,28.002,0.000,0.078,4.443,MUT,Female
K3,3210.377,0.010,3.524,26.655,0.000,0.085,4.579,MUT,Female
K5,2905.903,0.013,2.595,23.837,0.000,0.070,4.209,MUT,Female
K6,3024.732,0.005,2.953,23.661,0.000,0.061,4.616,MUT,Female
K7,3885.702,0.014,4.973,36.231,0.000,0.163,6.786,MUT,Female
K8,4209.276,0.008,4.064,36.664,0.000,0.099,6.504,MUT,Female
K9,3956.760,0.035,7.887,34.687,0.000,0.105,7.056,MUT,Female
Y10,4256.408,0.071,4.888,39.980,0.000,0.068,5.465,MUT,Male
Y11,3649.271,0.010,3.520,31.191,0.000,0.048,4.702,MUT,Male
Y12,3718.783,0.021,3.438,32.590,0.000,0.057,5.294,MUT,Male
Y13,2465.411,0.016,2.291,21.229,0.000,0.033,3.590,MUT,Male
Y14,2505.779,0.017,2.082,20.446,0.000,0.028,3.416,MUT,Male
Y5,3797.076,0.008,3.862,35.633,0.000,0.056,4.710,MUT,Male
Y6,2756.394,0.019,2.605,23.094,0.000,0.037,3.841,MUT,Male
Y7,3963.336,0.043,3.407,35.953,0.000,0.052,6.244,MUT,Male
Y8,3630.646,0.040,3.435,34.932,0.000,0.076,5.423,MUT,Male
Y9,3788.660,0.018,3.396,40.123,0.000,0.080,4.309,MUT,Male
