SampleID,Sex,Genotype,Site,SampleType,MouseID,Litter,Breeder,Site_General,Subset
SLCLTDTT003,Female,HET,Cecum,Mucosal,274,five,112,Colon,Mucosal_Colon
SLCLTDTT009,Female,HET,Cecum,Mucosal,282,one,110,Colon,Mucosal_Colon
SLCLTDTT015,Female,HET,Cecum,Mucosal,284,one,110,Colon,Mucosal_Colon
SLCLTDTT021,Female,HET,Cecum,Mucosal,288,three,111,Colon,Mucosal_Colon
SLCLTDTT093,Female,HET,Cecum,Mucosal,317,two,110,Colon,Mucosal_Colon
SLCLTDTT099,Female,HET,Cecum,Mucosal,340,seven,114,Colon,Mucosal_Colon
SLCLTDTT105,Female,HET,Cecum,Mucosal,342,seven,114,Colon,Mucosal_Colon
SLCLTDTT111,Female,HET,Cecum,Mucosal,341,seven,114,Colon,Mucosal_Colon
SLCLTDTT141,Female,HET,Cecum,Mucosal,336,ten,116,Colon,Mucosal_Colon
SLCLTDTT147,Female,HET,Cecum,Mucosal,325,eight,115,Colon,Mucosal_Colon
SLCLTFP003,Female,HET,Cecum,Luminal,274,five,112,Colon,Luminal_Colon
SLCLTFP009,Female,HET,Cecum,Luminal,282,one,110,Colon,Luminal_Colon
SLCLTFP015,Female,HET,Cecum,Luminal,284,one,110,Colon,Luminal_Colon
SLCLTFP021,Female,HET,Cecum,Luminal,288,three,111,Colon,Luminal_Colon
SLCLTFP093,Female,HET,Cecum,Luminal,317,two,110,Colon,Luminal_Colon
SLCLTFP099,Female,HET,Cecum,Luminal,340,seven,114,Colon,Luminal_Colon
SLCLTFP105,Female,HET,Cecum,Luminal,342,seven,114,Colon,Luminal_Colon
SLCLTFP111,Female,HET,Cecum,Luminal,341,seven,114,Colon,Luminal_Colon
SLCLTFP141,Female,HET,Cecum,Luminal,336,ten,116,Colon,Luminal_Colon
SLCLTFP147,Female,HET,Cecum,Luminal,325,eight,115,Colon,Luminal_Colon
SLCLTDTT039,Female,MUT,Cecum,Mucosal,275,five,112,Colon,Mucosal_Colon
SLCLTDTT045,Female,MUT,Cecum,Mucosal,273,five,112,Colon,Mucosal_Colon
SLCLTDTT117,Female,MUT,Cecum,Mucosal,337,seven,114,Colon,Mucosal_Colon
SLCLTDTT123,Female,MUT,Cecum,Mucosal,339,seven,114,Colon,Mucosal_Colon
SLCLTDTT153,Female,MUT,Cecum,Mucosal,324,eight,115,Colon,Mucosal_Colon
SLCLTDTT159,Female,MUT,Cecum,Mucosal,306,four,111,Colon,Mucosal_Colon
SLCLTFP039,Female,MUT,Cecum,Luminal,275,five,112,Colon,Luminal_Colon
SLCLTFP045,Female,MUT,Cecum,Luminal,273,five,112,Colon,Luminal_Colon
SLCLTFP117,Female,MUT,Cecum,Luminal,337,seven,114,Colon,Luminal_Colon
SLCLTFP123,Female,MUT,Cecum,Luminal,339,seven,114,Colon,Luminal_Colon
SLCLTFP153,Female,MUT,Cecum,Luminal,324,eight,115,Colon,Luminal_Colon
SLCLTFP159,Female,MUT,Cecum,Luminal,306,four,111,Colon,Luminal_Colon
SLCLTDTT057,Female,WT,Cecum,Mucosal,270,nine,116,Colon,Mucosal_Colon
SLCLTDTT063,Female,WT,Cecum,Mucosal,283,one,110,Colon,Mucosal_Colon
SLCLTDTT129,Female,WT,Cecum,Mucosal,307,eight,115,Colon,Mucosal_Colon
SLCLTDTT135,Female,WT,Cecum,Mucosal,309,six,113,Colon,Mucosal_Colon
SLCLTFP057,Female,WT,Cecum,Luminal,270,nine,116,Colon,Luminal_Colon
SLCLTFP063,Female,WT,Cecum,Luminal,283,one,110,Colon,Luminal_Colon
SLCLTFP129,Female,WT,Cecum,Luminal,307,eight,115,Colon,Luminal_Colon
SLCLTFP135,Female,WT,Cecum,Luminal,309,six,113,Colon,Luminal_Colon
SLCLTDTT027,Male,HET,Cecum,Mucosal,272,five,112,Colon,Mucosal_Colon
SLCLTDTT033,Male,HET,Cecum,Mucosal,289,three,111,Colon,Mucosal_Colon
SLCLTDTT165,Male,HET,Cecum,Mucosal,334,ten,116,Colon,Mucosal_Colon
SLCLTDTT171,Male,HET,Cecum,Mucosal,323,eight,115,Colon,Mucosal_Colon
SLCLTDTT177,Male,HET,Cecum,Mucosal,322,eight,115,Colon,Mucosal_Colon
SLCLTDTT183,Male,HET,Cecum,Mucosal,303,four,111,Colon,Mucosal_Colon
SLCLTFP027,Male,HET,Cecum,Luminal,272,five,112,Colon,Luminal_Colon
SLCLTFP033,Male,HET,Cecum,Luminal,289,three,111,Colon,Luminal_Colon
SLCLTFP165,Male,HET,Cecum,Luminal,334,ten,116,Colon,Luminal_Colon
SLCLTFP171,Male,HET,Cecum,Luminal,323,eight,115,Colon,Luminal_Colon
SLCLTFP177,Male,HET,Cecum,Luminal,322,eight,115,Colon,Luminal_Colon
SLCLTFP183,Male,HET,Cecum,Luminal,303,four,111,Colon,Luminal_Colon
SLCLTDTT051,Male,MUT,Cecum,Mucosal,331,eight,115,Colon,Mucosal_Colon
SLCLTFP051,Male,MUT,Cecum,Luminal,331,eight,115,Colon,Luminal_Colon
SLCLTDTT069,Male,WT,Cecum,Mucosal,269,nine,116,Colon,Mucosal_Colon
SLCLTDTT075,Male,WT,Cecum,Mucosal,267,nine,116,Colon,Mucosal_Colon
SLCLTDTT081,Male,WT,Cecum,Mucosal,266,nine,116,Colon,Mucosal_Colon
SLCLTFP069,Male,WT,Cecum,Luminal,269,nine,116,Colon,Luminal_Colon
SLCLTFP075,Male,WT,Cecum,Luminal,267,nine,116,Colon,Luminal_Colon
SLCLTFP081,Male,WT,Cecum,Luminal,266,nine,116,Colon,Luminal_Colon
SLCLTDTT001,Female,HET,Distal_Colon,Mucosal,274,five,112,Colon,Mucosal_Colon
SLCLTDTT007,Female,HET,Distal_Colon,Mucosal,282,one,110,Colon,Mucosal_Colon
SLCLTDTT013,Female,HET,Distal_Colon,Mucosal,284,one,110,Colon,Mucosal_Colon
SLCLTDTT019,Female,HET,Distal_Colon,Mucosal,288,three,111,Colon,Mucosal_Colon
SLCLTDTT091,Female,HET,Distal_Colon,Mucosal,317,two,110,Colon,Mucosal_Colon
SLCLTDTT097,Female,HET,Distal_Colon,Mucosal,340,seven,114,Colon,Mucosal_Colon
SLCLTDTT103,Female,HET,Distal_Colon,Mucosal,342,seven,114,Colon,Mucosal_Colon
SLCLTDTT109,Female,HET,Distal_Colon,Mucosal,341,seven,114,Colon,Mucosal_Colon
SLCLTDTT139,Female,HET,Distal_Colon,Mucosal,336,ten,116,Colon,Mucosal_Colon
SLCLTDTT145,Female,HET,Distal_Colon,Mucosal,325,eight,115,Colon,Mucosal_Colon
SLCLTFP001,Female,HET,Distal_Colon,Luminal,274,five,112,Colon,Luminal_Colon
SLCLTFP007,Female,HET,Distal_Colon,Luminal,282,one,110,Colon,Luminal_Colon
SLCLTFP013,Female,HET,Distal_Colon,Luminal,284,one,110,Colon,Luminal_Colon
SLCLTFP019,Female,HET,Distal_Colon,Luminal,288,three,111,Colon,Luminal_Colon
SLCLTFP091,Female,HET,Distal_Colon,Luminal,317,two,110,Colon,Luminal_Colon
SLCLTFP097,Female,HET,Distal_Colon,Luminal,340,seven,114,Colon,Luminal_Colon
SLCLTFP103,Female,HET,Distal_Colon,Luminal,342,seven,114,Colon,Luminal_Colon
SLCLTFP109,Female,HET,Distal_Colon,Luminal,341,seven,114,Colon,Luminal_Colon
SLCLTFP139,Female,HET,Distal_Colon,Luminal,336,ten,116,Colon,Luminal_Colon
SLCLTFP145,Female,HET,Distal_Colon,Luminal,325,eight,115,Colon,Luminal_Colon
SLCLTDTT037,Female,MUT,Distal_Colon,Mucosal,275,five,112,Colon,Mucosal_Colon
SLCLTDTT043,Female,MUT,Distal_Colon,Mucosal,273,five,112,Colon,Mucosal_Colon
SLCLTDTT115,Female,MUT,Distal_Colon,Mucosal,337,seven,114,Colon,Mucosal_Colon
SLCLTDTT121,Female,MUT,Distal_Colon,Mucosal,339,seven,114,Colon,Mucosal_Colon
SLCLTDTT151,Female,MUT,Distal_Colon,Mucosal,324,eight,115,Colon,Mucosal_Colon
SLCLTDTT157,Female,MUT,Distal_Colon,Mucosal,306,four,111,Colon,Mucosal_Colon
SLCLTFP037,Female,MUT,Distal_Colon,Luminal,275,five,112,Colon,Luminal_Colon
SLCLTFP043,Female,MUT,Distal_Colon,Luminal,273,five,112,Colon,Luminal_Colon
SLCLTFP115,Female,MUT,Distal_Colon,Luminal,337,seven,114,Colon,Luminal_Colon
SLCLTFP121,Female,MUT,Distal_Colon,Luminal,339,seven,114,Colon,Luminal_Colon
SLCLTFP151,Female,MUT,Distal_Colon,Luminal,324,eight,115,Colon,Luminal_Colon
SLCLTFP157,Female,MUT,Distal_Colon,Luminal,306,four,111,Colon,Luminal_Colon
SLCLTDTT055,Female,WT,Distal_Colon,Mucosal,270,nine,116,Colon,Mucosal_Colon
SLCLTDTT061,Female,WT,Distal_Colon,Mucosal,283,one,110,Colon,Mucosal_Colon
SLCLTDTT127,Female,WT,Distal_Colon,Mucosal,307,eight,115,Colon,Mucosal_Colon
SLCLTDTT133,Female,WT,Distal_Colon,Mucosal,309,six,113,Colon,Mucosal_Colon
SLCLTFP055,Female,WT,Distal_Colon,Luminal,270,nine,116,Colon,Luminal_Colon
SLCLTFP061,Female,WT,Distal_Colon,Luminal,283,one,110,Colon,Luminal_Colon
SLCLTFP127,Female,WT,Distal_Colon,Luminal,307,eight,115,Colon,Luminal_Colon
SLCLTFP133,Female,WT,Distal_Colon,Luminal,309,six,113,Colon,Luminal_Colon
SLCLTDTT025,Male,HET,Distal_Colon,Mucosal,272,five,112,Colon,Mucosal_Colon
SLCLTDTT031,Male,HET,Distal_Colon,Mucosal,289,three,111,Colon,Mucosal_Colon
SLCLTDTT163,Male,HET,Distal_Colon,Mucosal,334,ten,116,Colon,Mucosal_Colon
SLCLTDTT169,Male,HET,Distal_Colon,Mucosal,323,eight,115,Colon,Mucosal_Colon
SLCLTDTT175,Male,HET,Distal_Colon,Mucosal,322,eight,115,Colon,Mucosal_Colon
SLCLTDTT181,Male,HET,Distal_Colon,Mucosal,303,four,111,Colon,Mucosal_Colon
SLCLTFP025,Male,HET,Distal_Colon,Luminal,272,five,112,Colon,Luminal_Colon
SLCLTFP031,Male,HET,Distal_Colon,Luminal,289,three,111,Colon,Luminal_Colon
SLCLTFP163,Male,HET,Distal_Colon,Luminal,334,ten,116,Colon,Luminal_Colon
SLCLTFP169,Male,HET,Distal_Colon,Luminal,323,eight,115,Colon,Luminal_Colon
SLCLTFP175,Male,HET,Distal_Colon,Luminal,322,eight,115,Colon,Luminal_Colon
SLCLTFP181,Male,HET,Distal_Colon,Luminal,303,four,111,Colon,Luminal_Colon
SLCLTDTT049,Male,MUT,Distal_Colon,Mucosal,331,eight,115,Colon,Mucosal_Colon
SLCLTFP049,Male,MUT,Distal_Colon,Luminal,331,eight,115,Colon,Luminal_Colon
