	shannon_entropy
SLCLTDTT026	6.600585801450981
SLCLTDTT027	5.68486145631013
SLCLTDTT031	2.5849799856063114
SLCLTDTT032	6.334495773197118
SLCLTDTT033	6.023391496263221
SLCLTDTT037	5.2809966507220985
SLCLTDTT038	5.900833607703585
SLCLTDTT039	6.443554794051469
SLCLTDTT043	6.565258951853621
SLCLTDTT044	6.666605394457654
SLCLTDTT045	6.4583850283897295
SLCLTDTT049	2.436699167885238
SLCLTDTT050	6.523891970894353
SLCLTDTT051	5.863850893562919
SLCLTDTT055	1.8847337926813608
SLCLTDTT056	6.561667522400857
SLCLTDTT057	6.478367943061685
SLCLTDTT061	4.850848182987355
SLCLTDTT062	6.766466760765833
SLCLTDTT063	6.100007313277431
SLCLTDTT067	6.189583941606214
SLCLTDTT068	6.293204635023851
SLCLTDTT069	6.302312578264099
SLCLTDTT073	1.5990456323023743
SLCLTDTT074	6.483726567623152
SLCLTDTT075	4.735187065719278
SLCLTDTT079	4.27641132579676
SLCLTDTT080	6.522011907711354
SLCLTDTT081	5.908136810061524
SLCLTDTT091	5.62717302695523
SLCLTDTT001	1.8600792965208393
SLCLTDTT002	5.811212191211008
SLCLTDTT003	6.526273306853053
SLCLTDTT007	3.210080606465027
SLCLTDTT008	6.3420127174560905
SLCLTDTT009	5.753645103684588
SLCLTDTT013	2.690072335181076
SLCLTDTT014	5.379695839906032
SLCLTDTT015	5.97612715019076
SLCLTDTT019	3.549455618300504
SLCLTDTT020	5.411448518407961
SLCLTDTT021	5.946229186832125
SLCLTDTT025	4.383267485544449
SLCLTDTT092	5.4301441386092035
SLCLTDTT093	6.008143932205749
SLCLTDTT097	6.050740747685939
SLCLTDTT098	4.935743387758431
SLCLTDTT099	5.622136436078867
SLCLTDTT103	3.9232760273978675
SLCLTDTT104	6.591091390684619
SLCLTDTT105	4.948336417397683
SLCLTDTT109	4.846757296175625
SLCLTDTT110	6.635173513855145
SLCLTDTT111	5.870485433131584
SLCLTDTT115	6.4879568475666245
SLCLTDTT116	7.03395279197384
SLCLTDTT117	6.716415501645876
SLCLTDTT121	2.4369703168192958
SLCLTDTT122	6.1810134902145855
SLCLTDTT123	5.68449077258831
SLCLTDTT127	4.6417517201688465
SLCLTDTT128	5.431467745870131
SLCLTDTT133	5.39144572719701
SLCLTDTT134	5.651668779699769
SLCLTDTT135	5.335642516462215
SLCLTDTT139	3.2408806146204663
SLCLTDTT140	6.589253026095872
SLCLTDTT141	5.884321992196968
SLCLTDTT145	1.8638843511932992
SLCLTDTT146	6.330398562226708
SLCLTDTT147	6.564596974151263
SLCLTDTT151	6.481932879329705
SLCLTDTT152	6.4731624786133555
SLCLTDTT153	5.846814795439201
SLCLTDTT157	4.204023313871145
SLCLTDTT158	6.577391086720088
SLCLTDTT159	6.295873969398133
SLCLTDTT163	4.9901361517654195
SLCLTDTT164	6.784123677842598
SLCLTDTT165	5.977379033200203
SLCLTDTT169	1.5832209834969855
SLCLTDTT170	6.559367177378872
SLCLTDTT171	6.265764762450185
SLCLTDTT175	5.463463313449128
SLCLTDTT176	6.245191798965889
SLCLTDTT177	5.95585158816904
SLCLTDTT181	5.393425220355477
SLCLTDTT182	6.29003152498194
SLCLTDTT183	5.48500038966561
