OTU ID	SLCLTFP004	SLCLTFP005	SLCLTFP006	SLCLTFP010	SLCLTFP011	SLCLTFP012	SLCLTFP016	SLCLTFP017	SLCLTFP018	SLCLTFP022	SLCLTFP023	SLCLTFP024	SLCLTFP028	SLCLTFP029	SLCLTFP030	SLCLTFP034	SLCLTFP035	SLCLTFP036	SLCLTFP040	SLCLTFP041	SLCLTFP042	SLCLTFP046	SLCLTFP047	SLCLTFP048	SLCLTFP052	SLCLTFP053	SLCLTFP054	SLCLTFP058	SLCLTFP059	SLCLTFP060	SLCLTFP064	SLCLTFP065	SLCLTFP066	SLCLTFP070	SLCLTFP071	SLCLTFP072	SLCLTFP076	SLCLTFP077	SLCLTFP078	SLCLTFP082	SLCLTFP083	SLCLTFP084	SLCLTFP094	SLCLTFP095	SLCLTFP096	SLCLTFP100	SLCLTFP101	SLCLTFP102	SLCLTFP106	SLCLTFP107	SLCLTFP108	SLCLTFP112	SLCLTFP113	SLCLTFP114	SLCLTFP118	SLCLTFP119	SLCLTFP120	SLCLTFP124	SLCLTFP125	SLCLTFP126	SLCLTFP130	SLCLTFP131	SLCLTFP132	SLCLTFP136	SLCLTFP137	SLCLTFP138	SLCLTFP142	SLCLTFP143	SLCLTFP144	SLCLTFP148	SLCLTFP149	SLCLTFP150	SLCLTFP154	SLCLTFP155	SLCLTFP156	SLCLTFP160	SLCLTFP161	SLCLTFP162	SLCLTFP166	SLCLTFP167	SLCLTFP168	SLCLTFP172	SLCLTFP173	SLCLTFP174	SLCLTFP178	SLCLTFP179	SLCLTFP180	SLCLTFP184	SLCLTFP185	SLCLTFP186	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	39316	31329	25351	11321	13104	18330	46861	43837	25167	53494	53479	32038	65967	71397	42854	105304	107639	76915	39035	31486	8098	19925	13576	9234	65178	74822	45554	48857	73329	26332	116828	118757	88897	12143	26201	8332	238116	212828	86775	38021	109813	66701	128263	54982	66422	101374	45721	21999	344102	230544	171889	85427	82606	81979	38030	19208	7001	98766	65930	52105	87201	95640	69776	120586	68926	72340	62693	41085	30772	99803	119177	56461	8592	28781	11335	73994	34452	34170	89789	35523	84442	22450	17863	9235	32178	21592	8498	10234	6281	2054	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	191993	193023	289756	134135	164319	159218	95867	130692	149116	65339	65408	42633	140945	148715	93614	79705	140597	84134	87491	136147	144371	126112	175007	139836	47645	37170	36907	20478	44855	35300	7980	24615	19743	28467	76092	33589	5069	8960	10669	20190	24685	12000	38320	46443	31229	71226	100734	110421	18390	11504	11645	48034	38539	47305	40827	89940	99351	41877	59897	59208	74431	51650	34461	48224	58765	58482	80128	107145	76892	55437	133289	129993	139576	3554	104288	96106	150855	113815	4314	2660	7053	104072	147839	93868	113419	147796	73330	18505	24957	12425	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	3987	5647	18116	18076	11831	15784	12225	46352	34946	32608	63469	33621	10082	25224	38753	17427	46551	40486	3606	7005	13567	7549	17334	24643	1529	71496	76912	16291	26077	83193	36268	62545	103702	5273	34737	137003	36457	100269	133574	23875	96939	120469	5819	4581	93342	15613	27824	13804	27115	20270	83126	45851	31424	54818	40001	53438	60411	31194	46244	41098	10757	8201	74207	53948	55310	38305	4805	19998	39515	334	288	17193	3903	56761	27843	1356	63929	31442	102254	55613	4295	44479	57385	82014	5490	18192	37785	48900	47385	62284	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	55	59	50	67	43	48	52	45	35	43	44	28	52	54	46	42	50	39	34	36	41	82	68	38	33	83	35	85	65	74	62	44	58	136	79	44	59	56	41	112	64	45	75	30	38	74	45	30	68	55	37	40	40	52	63	49	40	77	80	48	34	47	51	70	42	53	39	47	38	45	54	55	43	46	45	59	49	37	43	28	43	61	46	53	70	57	34	92	59	29	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002	32035	33968	80969	34242	35164	32570	8190	19707	16502	10467	16616	8998	13973	18932	17030	18449	21924	17312	20108	37251	59072	21597	37294	48381	13550	15796	34637	4295	12342	13641	7315	28974	22204	6829	22922	12129	2654	5655	10753	7897	9316	5289	17189	20252	12004	20802	34075	55789	10265	6016	4973	24684	21215	32905	5456	13010	21615	18326	24710	26070	42322	28452	18605	23783	19526	24469	15011	25558	30039	5834	12190	19594	64817	3561	76672	24460	19632	28619	3085	2023	2196	9246	10759	14746	30173	51038	22490	5633	6828	4045	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	8657	561	9383	22852	7812	5860	2192	1947	1027	14719	2092	876	2523	830	288	5830	1107	985	5508	856	374	39838	1821	1302	1585	309	1316	85800	28839	15518	39758	3897	11352	232909	54762	8243	25621	5877	8729	189769	4526	4595	16882	233	1608	8281	2331	280	556	217	274	4149	389	315	35148	246	778	55787	46124	18699	305	2659	11252	31052	12734	8402	602	244	181	160	295	2578	4679	7702	11401	8156	3796	1112	5637	3649	22720	39117	3416	3963	37020	1462	3751	120734	68535	2316	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus	1023	43	18	319	30	41	1957	44537	37	3929	358	289	4915	93	26	4792	24	56	24775	1433	155	624	45	20	118788	81	119	645	575	148	443	39	30	49	29	29	89	25	21	479	20	21	25	24	26	34	19	27	45	16	24	27	29	23	58147	146	715	517	83	28	52	9022	29	94	28	23	29	13	27	25	39	28	2543	73	33	74	38	24	30	35	214	472	38	26	39	395	22	29	30	10	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	1233	629	4349	5998	8061	5829	2230	6727	4348	1433	3606	1666	1618	4536	6004	11609	30366	22967	1403	2577	4853	3191	6573	5009	284	18887	12065	16526	32243	30589	11159	23961	18546	870	2920	7067	2369	9556	8164	5582	38498	16310	12581	4004	2440	14181	7038	3684	3266	880	4021	8555	18216	18525	2439	2734	2340	11085	16896	14664	1741	1135	735	6445	6401	5788	2747	10771	12338	33	43	412	736	7439	1104	1482	5628	4389	476	2803	641	3606	4460	6000	865	2719	3379	9234	12330	6236	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	562	320	962	1902	782	1330	3549	6688	6319	1214	3383	1473	552	1129	1315	3500	4377	2697	2113	1914	2281	397	435	570	422	12384	16700	6020	20943	29810	1577	2475	2266	507	1358	1460	2391	4269	6953	2155	10579	11076	1513	229	1813	778	674	576	2345	819	5289	4891	4666	8625	2871	3643	5527	5834	2960	2902	93	66	493	625	911	581	178	403	644	56	66	1436	444	1351	1463	891	6412	2442	2945	10373	639	5058	7449	11994	438	2212	8463	5460	9864	3867	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	467	454	1327	1704	834	1169	1352	4851	3487	4337	9155	4883	580	886	1431	2270	2034	4472	468	860	1050	576	1439	1486	107	2556	5802	2367	2099	7881	5326	5125	13007	627	3375	9567	2891	5129	10062	2668	3687	6461	476	230	6264	1453	1231	838	1464	1479	7055	2767	1116	2532	1636	2324	3193	2710	2980	3277	438	391	4028	6543	3026	3480	67	228	622	15	11	822	210	1718	1360	162	5082	5928	8118	5799	565	3638	4361	7033	473	1556	4522	5026	5202	7356	
