metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	EC.1.1.2.4	Cecum	0.643066012445531	0.0687173208259992	90	0	3.41944346263628e-13	1.96083448649027e-10
Site	EC.1.12.2.1	Cecum	0.683900492788201	0.0731334872005865	90	0	3.50736601757665e-13	1.96083448649027e-10
Site	EC.1.18.6.1	Cecum	0.426752936400284	0.0454429408098875	90	0	3.02167107338371e-13	1.96083448649027e-10
Site	EC.1.2.99.7	Cecum	0.665915652736856	0.0712605222901252	90	0	3.59566226129022e-13	1.96083448649027e-10
Site	EC.1.4.1.24	Cecum	0.683862977274471	0.0731319441303554	90	0	3.51154191372765e-13	1.96083448649027e-10
Site	EC.1.8.99.2	Cecum	0.553865627038329	0.0588550128875801	90	0	2.80548875957737e-13	1.96083448649027e-10
Site	EC.1.8.99.3	Cecum	0.683900492788201	0.0731334872005865	90	0	3.50736601757665e-13	1.96083448649027e-10
Site	EC.1.8.99.5	Cecum	0.683900492788201	0.0731334872005865	90	0	3.50736601757665e-13	1.96083448649027e-10
Site	EC.2.1.1.178	Cecum	0.676467238082728	0.072035726477149	90	0	3.02444329382072e-13	1.96083448649027e-10
Site	EC.2.1.1.186	Cecum	0.675534832591874	0.071873767865162	90	0	2.93261726180643e-13	1.96083448649027e-10
Site	EC.2.5.1.26	Cecum	0.27844046790366	0.0294825546662326	90	0	2.47263844943434e-13	1.96083448649027e-10
Site	EC.2.7.1.20	Cecum	0.64480556365248	0.0675130851689995	90	0	1.65695596085536e-13	1.96083448649027e-10
Site	EC.2.7.7.53	Cecum	0.618060796208421	0.0657451216703129	90	0	2.91110931117594e-13	1.96083448649027e-10
Site	EC.2.9.1.1	Cecum	0.228474192305669	0.0233436416103203	90	0	6.84014895345929e-14	1.96083448649027e-10
Site	EC.3.6.1.8	Cecum	0.603932577761168	0.0634094025128045	90	0	1.8300817992709e-13	1.96083448649027e-10
Site	EC.1.8.4.8	Cecum	0.291292757124001	0.0313439595668601	90	0	4.36468203385627e-13	2.10018229629084e-10
Site	EC.2.3.3.9	Cecum	0.59277016368603	0.0636749183502339	90	0	4.11057627831288e-13	2.10018229629084e-10
Site	EC.1.5.5.2	Cecum	0.535392145362345	0.058584049562172	90	0	7.82997696679115e-13	3.5582895326862e-10
Site	EC.2.7.9.2	Cecum	0.456978809764226	0.0501081240438035	90	0	8.41496383007034e-13	3.62286337526186e-10
Site	EC.1.8.98.1	Cecum	0.350903217483127	0.0388999563566436	90	0	1.22597332781016e-12	5.01423091074357e-10
Site	EC.2.1.1.77	Cecum	0.38721242853985	0.0431691596357439	90	0	1.48814815845588e-12	5.29263127659527e-10
Site	EC.3.1.1.5	Cecum	0.311092171939556	0.0346768049358632	90	0	1.47948969801555e-12	5.29263127659527e-10
Site	EC.6.2.1.30	Cecum	0.29761045945305	0.033108416753623	90	0	1.38282297904157e-12	5.29263127659527e-10
Site	EC.1.1.3.15	Cecum	0.400694210828222	0.0449649170113463	90	0	1.85827031769558e-12	6.22376669674192e-10
Site	EC.1.6.5.5	Cecum	0.495671591552336	0.0556892880951998	90	0	1.93478481568877e-12	6.22376669674192e-10
Site	EC.3.6.3.55	Cecum	0.503252666362786	0.0565780941469232	90	0	1.97821435348765e-12	6.22376669674192e-10
Site	EC.3.2.2.26	Cecum	0.420419416804048	0.04812533505943	90	0	3.62605761298236e-12	1.09856115830354e-09
Site	EC.2.7.1.4	Cecum	-0.0538825911654877	0.00618155727345427	90	0	3.90283833720542e-12	1.14018634279787e-09
Site	EC.1.9.3.1	Cecum	0.420388356277254	0.0484543401889447	90	0	4.55967171055548e-12	1.28614188249462e-09
Site	EC.1.2.99.5	Cecum	0.571780618903823	0.0663676167866566	90	0	5.74946881242865e-12	1.49805985319034e-09
Site	EC.2.7.1.48	Cecum	-0.0408637676133476	0.0047458819158652	90	0	5.8603808437764e-12	1.49805985319034e-09
Site	EC.2.7.8.37	Cecum	0.330406834355012	0.0383695764265533	90	0	5.84237929558253e-12	1.49805985319034e-09
Site	EC.4.7.1.1	Cecum	0.328843048849307	0.0382332414166151	90	0	6.07487721866409e-12	1.50583320147492e-09
Site	EC.1.2.1.2	Cecum	0.282502133754022	0.0328796495756393	90	0	6.28703587260761e-12	1.51258686582148e-09
Site	EC.2.5.1.75	Cecum	-0.0434861901272124	0.00507207198025832	90	0	6.74474273808257e-12	1.57634273135758e-09
Site	EC.5.1.3.3	Cecum	-0.0687540449588513	0.00812547229700785	90	0	1.03658749503902e-11	2.35535714150533e-09
Site	EC.2.5.1.56	Cecum	0.344932643406657	0.041192888222696	90	0	1.45294288983474e-11	3.06454244544799e-09
Site	EC.2.7.1.167	Cecum	0.490083239754115	0.0585373813132695	90	0	1.46108991897887e-11	3.06454244544799e-09
Site	EC.2.7.7.70	Cecum	0.490083239754115	0.0585373813132695	90	0	1.46108991897887e-11	3.06454244544799e-09
Site	EC.1.1.1.302	Cecum	0.303817543340088	0.0366472533075015	90	0	2.00110949457815e-11	4.09226891641232e-09
Site	EC.5.1.3.20	Cecum	0.249585064358341	0.0303133789456202	90	0	2.49017669248592e-11	4.96820618159386e-09
Site	EC.2.1.1.219	Cecum	0.520313806441066	0.0633754103334152	90	0	2.72563175347339e-11	5.06719721441189e-09
Site	EC.2.1.1.220	Cecum	0.520313806441066	0.0633754103334152	90	0	2.72563175347339e-11	5.06719721441189e-09
Site	EC.4.2.1.151	Cecum	0.392667375854787	0.0477712739963864	90	0	2.62560130630535e-11	5.06719721441189e-09
Site	EC.3.6.1.66	Cecum	-0.0404868697164076	0.00493760237445411	90	0	2.8361673877848e-11	5.15552205157326e-09
Site	EC.3.2.2.27	Cecum	-0.0652461749874852	0.00796937081047114	90	0	2.97700587520428e-11	5.25571048919426e-09
Site	EC.3.4.23.43	Cecum	0.0638078619491608	0.00779721886580541	90	0	3.01978475540501e-11	5.25571048919426e-09
Site	EC.3.6.3.41	Cecum	0.250197522004139	0.0305983569656512	90	0	3.09734683911722e-11	5.27839523832893e-09
Site	EC.2.7.11.1	Cecum	0.10290663346377	0.0126001482495015	90	0	3.21565832334152e-11	5.3508017886639e-09
Site	EC.3.5.2.5	Cecum	0.234828580899218	0.0287685127797727	90	0	3.27066124001461e-11	5.3508017886639e-09
Site	EC.1.2.7.8	Cecum	0.239613689880562	0.0294182541366454	90	0	3.50048957503081e-11	5.60648429668583e-09
Site	EC.2.1.1.198	Cecum	-0.0408169608593981	0.00501412208517174	90	0	3.56402424728195e-11	5.60648429668583e-09
Site	EC.2.7.1.51	Cecum	0.304430244573001	0.037505148932435	90	0	3.89999830307771e-11	5.92632572842505e-09
Site	EC.4.6.1.1	Cecum	0.302590068647995	0.0372821790874691	90	0	3.91224436839795e-11	5.92632572842505e-09
