"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","EC.1.1.1.103","Genotype","MUT",0.199375597898975,0.0912101662329188,90,0,0.0380215860462231,0.152160750419817,"L-threonine 3-dehydrogenase"
"2","EC.1.1.1.130","Genotype","MUT",0.296345057002198,0.137145253898373,90,0,0.0401033530103166,0.15703467095471,"3-dehydro-L-gulonate 2-dehydrogenase"
"3","EC.1.1.1.133","Genotype","MUT",0.0607647110838272,0.0311991192671432,90,0,0.0623322923022804,0.218029462675323,"dTDP-4-dehydrorhamnose reductase"
"4","EC.1.1.1.302","Genotype","MUT",0.286102840288781,0.151267005307775,90,0,0.0697646822263216,0.235638519278307,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
"5","EC.1.1.1.376","Genotype","HET",0.3856204283025,0.190904098311512,90,0,0.0538025917733092,0.195677991095823,"L-arabinose 1-dehydrogenase (NAD(P)(+))"
"6","EC.1.1.1.53","Genotype","MUT",0.798568819629023,0.390552985281867,90,0,0.0511306147782626,0.189514891989952,"3-alpha(or 20-beta)-hydroxysteroid dehydrogenase"
"7","EC.1.1.1.77","Genotype","MUT",-0.162204597560712,0.0868913616752374,90,0,0.0732526215744469,0.243901209780158,"Lactaldehyde reductase"
"8","EC.1.1.1.79","Genotype","MUT",0.544373437929642,0.193148475582515,90,0,0.00910265171434111,0.0449522901282985,"Glyoxylate reductase (NADP(+))"
"9","EC.1.1.3.6","Genotype","MUT",0.216704720754375,0.115040349890736,90,0,0.0708322734168159,0.237949895913574,"Cholesterol oxidase"
"10","EC.1.1.5.3","Genotype","HET",-0.0541553225738475,0.0199953700222178,90,0,0.0117969929054108,0.0561696169768688,"Glycerol-3-phosphate dehydrogenase"
"11","EC.1.11.1.15","Genotype","HET",-0.0529531648615471,0.0173513125120933,90,0,0.00518775158711614,0.0283216352611111,"Peroxiredoxin"
"12","EC.1.11.1.15","Genotype","MUT",-0.039270565927917,0.0209008093454475,90,0,0.0715132059057688,0.239548740503353,"Peroxiredoxin"
"13","EC.1.11.1.21","Genotype","MUT",-0.524693081560581,0.183651266390359,90,0,0.00830382497778053,0.0415699438912146,"Catalase peroxidase"
"14","EC.1.13.11.53","Genotype","MUT",0.175983422032151,0.0902539910299111,90,0,0.0620529644908286,0.217571045664371,"Acireductone dioxygenase (Ni(2+)-requiring)"
"15","EC.1.13.11.54","Genotype","MUT",0.175983422032151,0.0902539910299111,90,0,0.0620529644908286,0.217571045664371,"Acireductone dioxygenase (Fe(2+)-requiring)"
"16","EC.1.14.11.18","Genotype","HET",0.3856204283025,0.190904098311512,90,0,0.0538025917733092,0.195677991095823,"Phytanoyl-CoA dioxygenase"
"17","EC.1.14.13.1","Genotype","MUT",0.960592008632962,0.49106831532349,90,0,0.0612737427267741,0.215670918892002,"Salicylate 1-monooxygenase"
"18","EC.1.14.13.127","Genotype","HET",0.223834838308386,0.109524829306509,90,0,0.0512386865414771,0.189652694981576,"3-(3-hydroxy-phenyl)propanoic acid hydroxylase"
"19","EC.1.14.13.40","Genotype","HET",0.385767988532125,0.191032091192916,90,0,0.0538667827044131,0.195677991095823,"Anthraniloyl-CoA monooxygenase"
"20","EC.1.14.14.1","Genotype","HET",0.385963845957141,0.191173857493741,90,0,0.0539190943679689,0.195677991095823,"Unspecific monooxygenase"
"21","EC.1.14.99.50","Genotype","HET",-0.298617838151496,0.101050911965673,90,0,0.00656107848698089,0.0338823541431703,"Gamma-glutamyl hercynylcysteine S-oxide synthase"
"22","EC.1.17.4.2","Genotype","HET",0.0273765889523839,0.0129154121856152,90,0,0.0437391496715158,0.167189833791121,"Ribonucleoside-triphosphate reductase"
"23","EC.1.17.4.2","Genotype","MUT",0.0373760012368704,0.0155574725267193,90,0,0.0237209567080216,0.102665304693977,"Ribonucleoside-triphosphate reductase"
"24","EC.1.17.99.6","Genotype","HET",-0.124897117150046,0.0572079348142156,90,0,0.03823922459989,0.152712038987519,"Epoxyqueuosine reductase"
"25","EC.1.18.1.3","Genotype","HET",0.214857257622929,0.115342177569069,90,0,0.0738289104466274,0.245474951214427,"Ferredoxin--NAD(+) reductase"
"26","EC.1.2.1.16","Genotype","HET",0.314446009953497,0.131156551131346,90,0,0.0239840435727403,0.103420915353197,"Succinate-semialdehyde dehydrogenase (NAD(P)(+))"
"27","EC.1.2.1.20","Genotype","HET",0.314698867702138,0.13129276657636,90,0,0.0240139882958473,0.103440981706177,"Glutarate-semialdehyde dehydrogenase"
"28","EC.1.2.1.21","Genotype","MUT",0.265911532410478,0.110868937765901,90,0,0.0239337107347112,0.103367346256567,"Glycolaldehyde dehydrogenase"
"29","EC.1.2.1.22","Genotype","MUT",0.265911532410478,0.110868937765901,90,0,0.0239337107347112,0.103367346256567,"Lactaldehyde dehydrogenase"
"30","EC.1.2.1.32","Genotype","HET",0.3856204283025,0.190904098311512,90,0,0.0538025917733092,0.195677991095823,"Aminomuconate-semialdehyde dehydrogenase"
"31","EC.1.2.1.41","Genotype","MUT",-0.0904594397425442,0.031000963708121,90,0,0.00717585222924598,0.0366865445220201,"Glutamate-5-semialdehyde dehydrogenase"
"32","EC.1.2.1.79","Genotype","HET",0.314698867702138,0.13129276657636,90,0,0.0240139882958473,0.103440981706177,"Succinate-semialdehyde dehydrogenase (NADP(+))"
