"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X1","X2","X3","X4","X5","X6","X7","coef_abs"
"1","DENOVOPURINE2.PWY","Genotype","MUT",-0.0707001853135526,0.0354294502413442,89,0,0.0564316177860369,0.154240937826267,"superpathway of purine nucleotides de novo biosynthesis II","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0707001853135526
"2","DENOVOPURINE2.PWY","Genotype","MUT",-0.0707001853135526,0.0354294502413442,89,0,0.0564316177860369,0.154240937826267,"superpathway of purine nucleotides de novo biosynthesis II","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN","Purine-Nucleotide-De-Novo-Biosynthesis","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN",0.0707001853135526
"3","FASYN.ELONG.PWY","Genotype","MUT",-0.0701823392536674,0.0339337972217328,89,0,0.0486306375138916,0.135085104205255,"fatty acid elongation -- saturated","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis","Lipid-Biosynthesis","Fatty-acid-biosynthesis","Biosynthesis",0.0701823392536674
"4","FOLSYN.PWY","Genotype","MUT",0.0524594272337671,0.0219277646880169,89,0,0.024133908770266,0.0700481098208186,"superpathway of tetrahydrofolate biosynthesis and salvage","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0524594272337671
"5","FOLSYN.PWY","Genotype","MUT",0.0524594272337671,0.0219277646880169,89,0,0.024133908770266,0.0700481098208186,"superpathway of tetrahydrofolate biosynthesis and salvage","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Folate-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis",0.0524594272337671
"6","METH.ACETATE.PWY","Genotype","MUT",0.278470578652238,0.157472417102796,89,0,0.0884373179896038,0.229349891051877,"methanogenesis from acetate","Energy-Metabolism","Respiration","ANAEROBIC-RESPIRATION","METHANOGENESIS","Energy-Metabolism","Respiration","ANAEROBIC-RESPIRATION",0.278470578652238
"7","P562.PWY","Genotype","MUT",0.333201852689281,0.130565396514291,89,0,0.0167701496473081,0.049832061154838,"myo-inositol degradation I","Degradation","SECONDARY-METABOLITE-DEGRADATION","Sugar-Derivatives","SUGAR-ALCOHOLS-DEG","Degradation","SECONDARY-METABOLITE-DEGRADATION","Sugar-Derivatives",0.333201852689281
"8","PWY.1882","Genotype","MUT",0.339206078569704,0.188545262384695,89,0,0.0832094703188711,0.217597987235542,"superpathway of C1 compounds oxidation to CO2","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.339206078569704
"9","PWY.1882","Genotype","MUT",0.339206078569704,0.188545262384695,89,0,0.0832094703188711,0.217597987235542,"superpathway of C1 compounds oxidation to CO2","Degradation","C1-COMPOUNDS","Degradation","C1-COMPOUNDS","Degradation","C1-COMPOUNDS","Degradation",0.339206078569704
"10","PWY.2941","Genotype","MUT",-0.103206394724861,0.049969991680263,89,0,0.048758512932712,0.135239958208336,"L-lysine biosynthesis II","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","LYSINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN",0.103206394724861
"11","PWY.5088","Genotype","MUT",0.450099429615473,0.195097414542418,89,0,0.0290131893703761,0.0831800153967204,"L-glutamate degradation VIII (to propanoate)","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.450099429615473
"12","PWY.5088","Genotype","MUT",0.450099429615473,0.195097414542418,89,0,0.0290131893703761,0.0831800153967204,"L-glutamate degradation VIII (to propanoate)","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation","GLUTAMATE-DEG","Degradation","Amino-Acid-Degradation","Proteinogenic-Amino-Acids-Degradation",0.450099429615473
"13","PWY.5088","Genotype","MUT",0.450099429615473,0.195097414542418,89,0,0.0290131893703761,0.0831800153967204,"L-glutamate degradation VIII (to propanoate)","Energy-Metabolism","Fermentation","Energy-Metabolism","Fermentation","Energy-Metabolism","Fermentation","Energy-Metabolism",0.450099429615473
"14","PWY.5507","Genotype","MUT",0.649617891433949,0.270406384540938,89,0,0.023584434379562,0.0685594022661685,"adenosylcobalamin biosynthesis I (early cobalt insertion)","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Cobalamin-Biosynthesis","Adenosylcobalamin-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis",0.649617891433949
"15","PWY.5507","Genotype","MUT",0.649617891433949,0.270406384540938,89,0,0.023584434379562,0.0685594022661685,"adenosylcobalamin biosynthesis I (early cobalt insertion)","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.649617891433949
"16","PWY.5741","Genotype","MUT",0.545331426153585,0.190178115339409,89,0,0.00803203572092186,0.0244879137832983,"ethylmalonyl-CoA pathway","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism",0.545331426153585
"17","PWY.6125","Genotype","MUT",-0.081399658476212,0.0435972302294921,89,0,0.07297719314181,0.195474624486991,"superpathway of guanosine nucleotides de novo biosynthesis II","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.081399658476212
"18","PWY.6125","Genotype","MUT",-0.081399658476212,0.0435972302294921,89,0,0.07297719314181,0.195474624486991,"superpathway of guanosine nucleotides de novo biosynthesis II","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN","Purine-Nucleotide-De-Novo-Biosynthesis","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN",0.081399658476212
"19","PWY.6612","Genotype","MUT",0.0691851483009029,0.0324341622367239,89,0,0.0424207962337427,0.118892366125961,"superpathway of tetrahydrofolate biosynthesis","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.0691851483009029
"20","PWY.6612","Genotype","MUT",0.0691851483009029,0.0324341622367239,89,0,0.0424207962337427,0.118892366125961,"superpathway of tetrahydrofolate biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Folate-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis",0.0691851483009029
"21","PWY.6728","Genotype","MUT",1.37402423910047,0.382711634708163,89,0,0.0013354096651126,0.00436218313952288,"methylaspartate cycle","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism","Energy-Metabolism",1.37402423910047
"22","PWY.6749","Genotype","MUT",0.325926301352184,0.154236532958562,89,0,0.0444076768425323,0.123537676676184,"CMP-legionaminate biosynthesis I","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","SUGAR-NUCLEOTIDES","CMP-Sugar-Biosynthesis","Sialic-Acids-Biosynthesis","CMP-Legionaminate-Biosynthesis",0.325926301352184
"23","PWY.6897","Genotype","MUT",0.048651368871114,0.0266388027811642,89,0,0.0789388093532307,0.208488018727669,"thiamin salvage II","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Thiamine-Biosynthesis","Thiamin-Salvage","Biosynthesis","Cofactor-Biosynthesis",0.048651368871114
"24","PWY.6897","Genotype","MUT",0.048651368871114,0.0266388027811642,89,0,0.0789388093532307,0.208488018727669,"thiamin salvage II","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways","Super-Pathways",0.048651368871114
"25","PWY.7184","Genotype","MUT",-0.104434469431598,0.0526540711952908,89,0,0.057749419420087,0.157383955541662,"pyrimidine deoxyribonucleotides de novo biosynthesis I","Biosynthesis","Nucleotide-Biosynthesis","PYR-NUC-SYN","Pyrimidine-De-Novo-Biosyn","Pyrimid-Deoxyribonucleot-De-Novo-Biosyn","Biosynthesis","Nucleotide-Biosynthesis",0.104434469431598
