metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Cecum	-1.326676111	0.145659554	89	0	1.04E-12	4.23E-10
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Aquabacterium	Cecum	-1.215274453	0.156170735	89	0	1.61E-10	7.37E-09
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	Cecum	-0.929460904	0.169671903	89	0	1.01E-06	7.99E-06
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Hydrogenophilaceae.g__Hydrogenophilus	Cecum	-0.90560367	0.122603023	89	0	6.83E-10	2.08E-08
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Ralstonia	Cecum	-0.901631775	0.185560091	89	0	9.44E-06	6.11E-05
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Sediminibacterium	Cecum	-0.892481072	0.137775626	89	0	2.31E-08	2.90E-07
Site	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium	Cecum	-0.873162203	0.142400893	89	0	8.66E-08	8.80E-07
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Cecum	-0.859136725	0.169011037	89	0	4.27E-06	3.03E-05
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Cecum	-0.803877715	0.140339538	89	0	3.95E-07	3.42E-06
Site	k__Bacteria.p__Deinococcota.c__Deinococci.o__Thermales.f__Thermaceae.g__Meiothermus	Cecum	-0.772580809	0.115040054	89	0	9.03E-09	1.48E-07
Site	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	Cecum	-0.641625652	0.14130059	89	0	2.91E-05	0.000173793
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Anoxybacillus	Cecum	-0.62236356	0.095012121	89	0	1.69E-08	2.35E-07
Site	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Xanthobacteraceae.g__Bradyrhizobium	Cecum	-0.60967885	0.129851704	89	0	1.69E-05	0.000105897
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella	Cecum	-0.595638131	0.160626348	89	0	0.000472417	0.002144303
Site	k__Bacteria.p__Bacteroidota.c__Kapabacteria.o__Kapabacteriales.f__.g__	Cecum	-0.592860386	0.116709363	89	0	4.22E-06	3.03E-05
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Neisseriaceae.g__Neisseria	Cecum	-0.532863285	0.173024157	89	0	0.003166976	0.01210449
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Cecum	-0.520160648	0.128401113	89	0	0.00015501	0.000781152
Site	k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.Selenomonadales.f__Veillonellaceae.g__Veillonella	Cecum	-0.499917581	0.15717255	89	0	0.002066639	0.008114411
Site	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	Cecum	-0.420711935	0.119164752	89	0	0.000679719	0.002959323
Site	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Rhodobacter	Cecum	-0.416366197	0.094831741	89	0	4.93E-05	0.000271983
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__env.OPS.17.g__	Cecum	-0.396229307	0.099282641	89	0	0.000187048	0.000927991
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_7	Cecum	-0.383048431	0.136864699	89	0	0.006377448	0.022303645
Site	k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacterium	Cecum	-0.358150087	0.09312624	89	0	0.000302639	0.001424183
Site	k__Bacteria.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia	Cecum	-0.241955706	0.134315721	89	0	0.076842283	0.19910551
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pasteurellaceae.g__Haemophilus	Cecum	-0.237300213	0.144160261	89	0	0.103527728	0.248156351
Site	k__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__.f__.g__	Cecum	-0.217139488	0.060285462	89	0	0.000537003	0.002420295
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter	Cecum	0.109545028	0.063034742	89	0	0.087561993	0.218053212
Site	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Cecum	0.170114189	0.098411903	89	0	0.089276711	0.218916072
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Cecum	0.170652264	0.06825234	89	0	0.015300841	0.050477002
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Cecum	0.172689369	0.064410079	89	0	0.009589772	0.032646033
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes	Cecum	0.217503702	0.090335213	89	0	0.019325072	0.061840229
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__28.4	Cecum	0.217594585	0.07244968	89	0	0.003957611	0.014725995
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella	Cecum	0.221727957	0.094629724	89	0	0.022637794	0.069654752
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Christensenellaceae.R.7.group	Cecum	0.224156193	0.102115393	89	0	0.032287202	0.096110742
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	Cecum	0.22453706	0.117478503	89	0	0.061080169	0.164942228
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	Cecum	0.227136643	0.110683512	89	0	0.043308884	0.122860076
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..brachy.group	Cecum	0.241541669	0.135777879	89	0	0.080513925	0.20447981
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis	Cecum	0.242425748	0.111245866	89	0	0.033529217	0.099345828
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Cecum	0.281760247	0.082882204	89	0	0.001240529	0.005155446
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Cecum	0.286218854	0.098330832	89	0	0.005132741	0.018351701
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__	Cecum	0.292309174	0.084099564	89	0	0.000978628	0.004147827
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	Cecum	0.293784903	0.100420901	89	0	0.004916125	0.017876817
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae.UCG.011	Cecum	0.300205085	0.092781999	89	0	0.002024022	0.008005739
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Cecum	0.308453471	0.094588637	89	0	0.001878037	0.007512149
Site	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	Cecum	0.310297277	0.073759587	89	0	9.29E-05	0.000487525
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Cecum	0.319659138	0.080718971	89	0	0.000209416	0.001030971
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	Cecum	0.324175854	0.125160347	89	0	0.01215531	0.040729833
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Cecum	0.347169202	0.099444571	89	0	0.000941109	0.0040154
Site	k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group	Cecum	0.348008344	0.088575832	89	0	0.000232657	0.001136647
Site	k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__	Cecum	0.348618342	0.111430559	89	0	0.002784251	0.010799517
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Cecum	0.349082094	0.086708157	89	0	0.000168306	0.00084153
Site	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Cecum	0.366611981	0.086904731	89	0	8.92E-05	0.000475855
