	chao1
SLCLTFP001	327.4375
SLCLTFP002	435.5833333333333
SLCLTFP003	402.92857142857144
SLCLTFP007	344.5652173913044
SLCLTFP008	369.0
SLCLTFP009	396.3333333333333
SLCLTFP013	291.1111111111111
SLCLTFP014	314.61538461538464
SLCLTFP015	390.61538461538464
SLCLTFP019	286.0
SLCLTFP020	409.4375
SLCLTFP021	340.8333333333333
SLCLTFP025	289.61538461538464
SLCLTFP026	354.8
SLCLTFP027	377.6666666666667
SLCLTFP031	345.0
SLCLTFP032	377.6
SLCLTFP033	336.27272727272725
SLCLTFP037	244.07692307692307
SLCLTFP038	357.92857142857144
SLCLTFP039	358.0
SLCLTFP043	297.6470588235294
SLCLTFP044	486.6666666666667
SLCLTFP045	358.25
SLCLTFP049	392.5
SLCLTFP050	379.5
SLCLTFP051	389.1666666666667
SLCLTFP055	396.3157894736842
SLCLTFP056	430.1111111111111
SLCLTFP057	414.1666666666667
SLCLTFP061	280.09090909090907
SLCLTFP062	374.7692307692308
SLCLTFP063	377.5
SLCLTFP067	431.0
SLCLTFP068	413.25
SLCLTFP069	419.5
SLCLTFP073	425.9375
SLCLTFP074	394.0
SLCLTFP075	395.75
SLCLTFP079	320.0
SLCLTFP080	371.57142857142856
SLCLTFP081	434.75
SLCLTFP091	254.0
SLCLTFP092	343.15384615384613
SLCLTFP093	311.42857142857144
SLCLTFP097	248.0
SLCLTFP098	362.0
SLCLTFP099	366.0
SLCLTFP103	324.0
SLCLTFP104	390.7692307692308
SLCLTFP105	424.7142857142857
SLCLTFP109	383.4736842105263
SLCLTFP110	414.4
SLCLTFP111	337.0
SLCLTFP115	400.46153846153845
SLCLTFP116	450.10526315789474
SLCLTFP117	423.6470588235294
SLCLTFP121	391.14285714285717
SLCLTFP122	401.54545454545456
SLCLTFP123	371.5
SLCLTFP127	458.0
SLCLTFP128	346.7692307692308
SLCLTFP129	357.90909090909093
SLCLTFP133	375.5
SLCLTFP134	360.0
SLCLTFP135	420.27272727272725
SLCLTFP139	422.3333333333333
SLCLTFP140	432.1111111111111
SLCLTFP141	414.75
SLCLTFP145	393.3333333333333
SLCLTFP146	402.14285714285717
SLCLTFP147	400.0
SLCLTFP151	232.125
SLCLTFP152	433.0
SLCLTFP153	370.0
SLCLTFP157	233.07142857142858
SLCLTFP158	273.6666666666667
SLCLTFP159	350.6666666666667
SLCLTFP163	389.46153846153845
SLCLTFP164	229.06666666666666
SLCLTFP165	412.5
SLCLTFP169	381.625
SLCLTFP170	444.5
SLCLTFP171	380.3636363636364
SLCLTFP175	383.7142857142857
SLCLTFP176	432.4375
SLCLTFP177	434.0833333333333
SLCLTFP181	379.1111111111111
SLCLTFP182	418.0
SLCLTFP183	407.5
