	shannon_entropy
SLCLTFP001	5.233215700741435
SLCLTFP002	6.061900047717228
SLCLTFP003	6.163193871670275
SLCLTFP007	5.252019258141698
SLCLTFP008	5.924508410691471
SLCLTFP009	6.022280256297935
SLCLTFP013	5.444478466902453
SLCLTFP014	5.416523745119846
SLCLTFP015	6.24264280219599
SLCLTFP019	5.277792538053578
SLCLTFP020	6.1245169476974
SLCLTFP021	6.1662323975330215
SLCLTFP025	5.142934410633463
SLCLTFP026	5.931329852335298
SLCLTFP027	6.196291414910383
SLCLTFP031	5.529922558665955
SLCLTFP032	5.504891868651103
SLCLTFP033	5.940639435198874
SLCLTFP037	4.92035655404887
SLCLTFP038	5.985402099471477
SLCLTFP039	6.0699199291396955
SLCLTFP043	4.898171658069902
SLCLTFP044	6.653640767454403
SLCLTFP045	5.736759937673763
SLCLTFP049	6.237061029547119
SLCLTFP050	5.9452086409245455
SLCLTFP051	6.286375200136231
SLCLTFP055	5.41651792225295
SLCLTFP056	6.105552714979199
SLCLTFP057	6.086550133759677
SLCLTFP061	4.952348521395382
SLCLTFP062	5.680129114857046
SLCLTFP063	6.314940616553891
SLCLTFP067	6.079604719400856
SLCLTFP068	6.100160052259414
SLCLTFP069	6.361431909821781
SLCLTFP073	6.523389119842422
SLCLTFP074	5.93909944517871
SLCLTFP075	6.245635491684408
SLCLTFP079	5.003963769521767
SLCLTFP080	5.58080817344774
SLCLTFP081	6.566044124144375
SLCLTFP091	4.51201404335175
SLCLTFP092	5.637552434698884
SLCLTFP093	5.959700482788872
SLCLTFP097	5.554559403057222
SLCLTFP098	5.355884852851911
SLCLTFP099	5.769499796521031
SLCLTFP103	4.1390066869957725
SLCLTFP104	5.254341416144014
SLCLTFP105	5.939190137807186
SLCLTFP109	5.750392119399814
SLCLTFP110	6.626604819831972
SLCLTFP111	6.6940336925451485
SLCLTFP115	6.415143767098559
SLCLTFP116	6.70128548318771
SLCLTFP117	6.629016680456446
SLCLTFP121	6.13958505373063
SLCLTFP122	6.23913800932902
SLCLTFP123	5.698737707758132
SLCLTFP127	5.931264006625846
SLCLTFP128	5.285323434457794
SLCLTFP129	5.280573805214146
SLCLTFP133	4.256012622458842
SLCLTFP134	4.849040705180417
SLCLTFP135	6.1591764918750105
SLCLTFP139	6.593151440761822
SLCLTFP140	6.773037348727032
SLCLTFP141	7.019076105697446
SLCLTFP145	6.034538290402731
SLCLTFP146	6.491916667557084
SLCLTFP147	6.94314403707093
SLCLTFP151	4.332403105097873
SLCLTFP152	5.597386306117727
SLCLTFP153	5.521611021719444
SLCLTFP157	4.421842497699352
SLCLTFP158	4.924583798992487
SLCLTFP159	5.4232873071408365
SLCLTFP163	5.71095057688764
SLCLTFP164	3.8530411445354136
SLCLTFP165	5.739516261540285
SLCLTFP169	5.5722617972909845
SLCLTFP170	6.1862122401637345
SLCLTFP171	6.298124312993695
SLCLTFP175	5.989839210566454
SLCLTFP176	6.603232100845845
SLCLTFP177	6.875471273290591
SLCLTFP181	5.778075134705298
SLCLTFP182	6.099112486248758
SLCLTFP183	6.328663813713626
