"","MouseID","Phenotype","Sex","Genotype","Day","Score"
"1",1189,"Percent_Change_Weight","Male","HET","1",-0.88
"2",1189,"Percent_Change_Weight","Male","HET","2",1.75
"3",1189,"Percent_Change_Weight","Male","HET","3",2.63
"4",1189,"Percent_Change_Weight","Male","HET","4",2.19
"5",1189,"Percent_Change_Weight","Male","HET","5",-0.88
"6",1189,"Percent_Change_Weight","Male","HET","6",-10.96
"7",1189,"Percent_Change_Weight","Male","HET","7",-16.67
"8",1189,"Percent_Change_Weight","Male","HET","8",-26.75
"9",1198,"Percent_Change_Weight","Male","HET","1",0.77
"10",1198,"Percent_Change_Weight","Male","HET","2",1.92
"11",1198,"Percent_Change_Weight","Male","HET","3",2.3
"12",1198,"Percent_Change_Weight","Male","HET","4",-0.77
"13",1198,"Percent_Change_Weight","Male","HET","5",-6.13
"14",1198,"Percent_Change_Weight","Male","HET","6",-15.71
"15",1198,"Percent_Change_Weight","Male","HET","7",-22.61
"16",1198,"Percent_Change_Weight","Male","HET","8",-27.97
"17",1198,"Percent_Change_Weight","Male","HET","9",-30.65
"18",1229,"Percent_Change_Weight","Male","HET","1",2.62
"19",1229,"Percent_Change_Weight","Male","HET","2",1.31
"20",1229,"Percent_Change_Weight","Male","HET","3",6.11
"21",1229,"Percent_Change_Weight","Male","HET","4",1.75
"22",1229,"Percent_Change_Weight","Male","HET","5",0
"23",1229,"Percent_Change_Weight","Male","HET","6",-8.73
"24",1229,"Percent_Change_Weight","Male","HET","7",-12.66
"25",1229,"Percent_Change_Weight","Male","HET","8",-16.59
"26",1229,"Percent_Change_Weight","Male","HET","9",-17.9
"27",1229,"Percent_Change_Weight","Male","HET","10",-17.47
"28",1230,"Percent_Change_Weight","Male","HET","1",4
"29",1230,"Percent_Change_Weight","Male","HET","2",2.67
"30",1230,"Percent_Change_Weight","Male","HET","3",5.78
"31",1230,"Percent_Change_Weight","Male","HET","4",2.22
"32",1230,"Percent_Change_Weight","Male","HET","5",0.89
"33",1230,"Percent_Change_Weight","Male","HET","6",-7.56
"34",1230,"Percent_Change_Weight","Male","HET","7",-6.22
"35",1230,"Percent_Change_Weight","Male","HET","8",-17.78
"36",1230,"Percent_Change_Weight","Male","HET","9",-18.67
"37",1230,"Percent_Change_Weight","Male","HET","10",-17.78
"38",1208,"Percent_Change_Weight","Male","HET","1",0
"39",1208,"Percent_Change_Weight","Male","HET","2",0.44
"40",1208,"Percent_Change_Weight","Male","HET","3",3.98
"41",1208,"Percent_Change_Weight","Male","HET","4",3.98
"42",1208,"Percent_Change_Weight","Male","HET","5",1.77
"43",1208,"Percent_Change_Weight","Male","HET","6",-7.52
"44",1208,"Percent_Change_Weight","Male","HET","7",-7.96
"45",1208,"Percent_Change_Weight","Male","HET","8",-10.62
"46",1208,"Percent_Change_Weight","Male","HET","9",-15.49
"47",1208,"Percent_Change_Weight","Male","HET","10",-15.49
"48",1212,"Percent_Change_Weight","Male","HET","1",-1.38
"49",1212,"Percent_Change_Weight","Male","HET","2",4.15
"50",1212,"Percent_Change_Weight","Male","HET","3",2.76
"51",1212,"Percent_Change_Weight","Male","HET","4",1.38
"52",1212,"Percent_Change_Weight","Male","HET","5",-2.76
"53",1212,"Percent_Change_Weight","Male","HET","6",-9.68
"54",1212,"Percent_Change_Weight","Male","HET","7",-14.29
"55",1212,"Percent_Change_Weight","Male","HET","8",-19.35
"56",1212,"Percent_Change_Weight","Male","HET","9",-22.58
"57",1212,"Percent_Change_Weight","Male","HET","10",-25.35
"58",1288,"Percent_Change_Weight","Male","HET","1",-1.07
"59",1288,"Percent_Change_Weight","Male","HET","2",0.36
"60",1288,"Percent_Change_Weight","Male","HET","3",0.36
"61",1288,"Percent_Change_Weight","Male","HET","4",0.36
"62",1288,"Percent_Change_Weight","Male","HET","5",-3.56
"63",1288,"Percent_Change_Weight","Male","HET","6",-4.98
"64",1288,"Percent_Change_Weight","Male","HET","7",-7.47
"65",1288,"Percent_Change_Weight","Male","HET","8",-10.68
"66",1288,"Percent_Change_Weight","Male","HET","9",-15.66
"67",1288,"Percent_Change_Weight","Male","HET","10",-17.08
"68",1327,"Percent_Change_Weight","Male","HET","1",1.49
"69",1327,"Percent_Change_Weight","Male","HET","2",0.75
"70",1327,"Percent_Change_Weight","Male","HET","3",0.75
"71",1327,"Percent_Change_Weight","Male","HET","4",0.37
"72",1327,"Percent_Change_Weight","Male","HET","5",-0.75
