	chao1
SLCDTT145	438.06
SLCDTT146	299.51724137931035
SLCDTT147	386.0
SLCDTT151	361.85714285714283
SLCDTT152	367.38461538461536
SLCDTT153	327.2758620689655
SLCDTT157	518.304347826087
SLCDTT158	406.52941176470586
SLCDTT159	400.75757575757575
SLCDTT163	461.0
SLCDTT164	354.89473684210526
SLCDTT165	347.4054054054054
SLCDTT169	363.5652173913044
SLCDTT170	347.0
SLCDTT171	343.11538461538464
SLCDTT175	430.3181818181818
SLCDTT176	350.0
SLCDTT177	357.77777777777777
SLCdtt001	131.03703703703704
SLCdtt002	318.07142857142856
SLCdtt003	274.5357142857143
SLCdtt007	248.05263157894737
SLCdtt008	327.84
SLCdtt009	254.03703703703704
SLCdtt013	302.4761904761905
SLCdtt014	200.1764705882353
SLCdtt015	419.9375
SLCdtt019	175.21428571428572
SLCdtt020	238.66666666666666
SLCdtt021	186.33333333333334
SLCdtt025	269.2068965517241
SLCdtt026	274.10526315789474
SLCdtt027	291.04761904761904
SLCdtt031	225.04545454545453
SLCdtt032	244.8695652173913
SLCdtt033	209.75
SLCdtt037	328.88461538461536
SLCdtt038	269.25
SLCdtt039	274.8125
SLCdtt044	260.1578947368421
SLCdtt045	163.0
SLCdtt050	268.2173913043478
SLCdtt051	258.3333333333333
SLCdtt055	146.28571428571428
SLCdtt056	204.375
SLCdtt057	225.61904761904762
SLCdtt062	339.5625
SLCdtt063	260.0
SLCdtt067	249.46428571428572
SLCdtt068	211.14285714285714
SLCdtt069	299.875
SLCdtt074	306.75
SLCdtt075	219.11111111111111
SLCdtt079	243.51612903225808
SLCdtt080	240.5
SLCdtt081	205.5
SLCdtt087	253.75
SLCdtt091	163.0
SLCdtt092	212.66666666666666
SLCdtt093	291.24
SLCdtt097	308.15384615384613
SLCdtt098	213.55555555555554
SLCdtt099	190.95652173913044
SLCdtt103	246.85714285714286
SLCdtt105	184.0
SLCdtt109	238.53333333333333
SLCdtt110	240.76923076923077
SLCdtt111	226.25
SLCdtt115	164.15384615384616
SLCdtt116	143.0
SLCdtt117	200.0
SLCdtt121	217.58333333333334
SLCdtt122	169.0
SLCdtt123	206.05882352941177
SLCdtt128	270.2352941176471
SLCdtt129	192.875
SLCdtt133	208.33333333333334
SLCdtt134	254.23076923076923
SLCdtt135	217.5
SLCdtt139	153.83333333333334
SLCdtt140	181.5
SLCdtt141	216.9375
