	observed_features
SLCDTT145	420
SLCDTT146	290
SLCDTT147	353
SLCDTT151	301
SLCDTT152	322
SLCDTT153	299
SLCDTT157	448
SLCDTT158	366
SLCDTT159	368
SLCDTT163	432
SLCDTT164	330
SLCDTT165	323
SLCDTT169	308
SLCDTT170	328
SLCDTT171	296
SLCDTT175	380
SLCDTT176	332
SLCDTT177	344
SLCdtt001	119
SLCdtt002	293
SLCdtt003	259
SLCdtt007	237
SLCdtt008	308
SLCdtt009	242
SLCdtt013	296
SLCdtt014	200
SLCdtt015	389
SLCdtt019	172
SLCdtt020	238
SLCdtt021	186
SLCdtt025	251
SLCdtt026	270
SLCdtt027	282
SLCdtt031	223
SLCdtt032	242
SLCdtt033	209
SLCdtt037	311
SLCdtt038	266
SLCdtt039	263
SLCdtt044	248
SLCdtt045	162
SLCdtt050	267
SLCdtt051	254
SLCdtt055	139
SLCdtt056	204
SLCdtt057	223
SLCdtt062	310
SLCdtt063	255
SLCdtt067	244
SLCdtt068	209
SLCdtt069	295
SLCdtt074	298
SLCdtt075	213
SLCdtt079	238
SLCdtt080	236
SLCdtt081	201
SLCdtt087	235
SLCdtt091	163
SLCdtt092	206
SLCdtt093	282
SLCdtt097	297
SLCdtt098	203
SLCdtt099	187
SLCdtt103	219
SLCdtt105	181
SLCdtt109	234
SLCdtt110	238
SLCdtt111	224
SLCdtt115	162
SLCdtt116	143
SLCdtt117	194
SLCdtt121	210
SLCdtt122	169
SLCdtt123	199
SLCdtt128	267
SLCdtt129	188
SLCdtt133	206
SLCdtt134	250
SLCdtt135	214
SLCdtt139	148
SLCdtt140	179
SLCdtt141	216
