feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Genotype	b_HET	0.0660804544969527	0.820185749829708	36	9	0.937548926358882	0.994911799731975
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Genotype	c_MUT	0.157621022103965	0.820185749829708	36	9	0.851869601853758	0.994911799731975
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Genotype	b_HET	-0.0474465164367515	2.20910805672544	36	29	0.98333324437833	0.994911799731975
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Genotype	c_MUT	0.44453199392092	2.20910805672544	36	29	0.84499547644256	0.994911799731975
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Genotype	b_HET	0.273485794280197	0.781943438714556	36	29	0.734570148630878	0.994911799731975
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Genotype	c_MUT	0.902546956141029	0.781943438714556	36	29	0.278131359451696	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Genotype	b_HET	0.325510129455539	0.612004524018892	36	36	0.607689262583968	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Genotype	c_MUT	0.0266709166783683	0.612004524018892	36	36	0.966191072636581	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Genotype	b_HET	-0.0989161700998017	0.530494573380349	36	36	0.856219041064769	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Genotype	c_MUT	0.415277053393812	0.530494573380349	36	36	0.453842221741236	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Genotype	b_HET	-0.287330964339675	0.393157188190878	36	36	0.48347395547107	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Genotype	c_MUT	-0.175414240070524	0.393157188190878	36	36	0.66601670548454	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Genotype	b_HET	-0.172525789211964	0.627922777437019	36	36	0.789706401369669	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	Genotype	c_MUT	-0.0442544984596888	0.627922777437019	36	36	0.945354712593309	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Genotype	b_HET	-0.28527520315802	0.796548581289695	36	36	0.728495424120533	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Genotype	c_MUT	-1.00061396643218	0.796548581289695	36	36	0.240675614083367	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	Genotype	b_HET	0.019386235976735	1.29939125083673	36	27	0.988421922621724	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	Genotype	c_MUT	-0.377794052571469	1.29939125083673	36	27	0.777833523951588	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Genotype	b_HET	0.0562475475132829	0.80063921202336	36	33	0.945528316271259	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Genotype	c_MUT	-0.586967166338752	0.80063921202336	36	33	0.482140991232285	0.994911799731975
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Genotype	b_HET	0.599701821592354	1.76771592123125	36	34	0.742201463570866	0.994911799731975
