feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Site	Cecum	-0.639502624431801	0.0679782654288885	53	53	6.83462669713228e-11	2.67917366527585e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Site	Cecum	2.06225961462805	0.22760602696226	53	53	1.70843498665579e-10	3.34853257384535e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Cecum	2.09630153478553	0.239774963349024	53	53	3.76932765315171e-10	3.69394110008868e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Site	Cecum	2.0735192247309	0.235624436550304	53	53	3.55690629868465e-10	3.69394110008868e-08
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Cecum	2.8216470097171	0.325611317925832	53	53	4.8376139146719e-10	3.79268930910277e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Site	Cecum	1.98713305451577	0.234336177160166	53	53	8.12034593490637e-10	5.30529267747216e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Site	Cecum	1.81228917411648	0.217824978053376	53	53	1.17446324809938e-09	6.5769941893565e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Site	Cecum	3.71763436921784	0.479664311667808	53	44	5.75675310059981e-09	2.82080901929391e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Site	Cecum	1.86641339891321	0.251028782372437	53	53	1.45755960551885e-08	5.71363365363391e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Site	Proximal_Colon	1.75346657527034	0.235264416978388	53	53	1.42029005510825e-08	5.71363365363391e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Site	Cecum	2.27593849749476	0.316499743745101	53	50	2.98950106099192e-08	1.00510003361509e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Cecum	1.64537795614205	0.229573855778172	53	53	3.07683683759722e-08	1.00510003361509e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Site	Cecum	2.42648889597298	0.351537423224805	53	44	6.97973820212042e-08	2.10465951940862e-06
