	shannon_entropy
SLCDTT145	6.292340154842031
SLCDTT146	6.158011829108176
SLCDTT147	6.285068728717292
SLCDTT151	4.636452403136465
SLCDTT152	5.519165739970433
SLCDTT153	5.240309086997257
SLCDTT157	5.87614862309287
SLCDTT158	6.203394399527503
SLCDTT159	5.700933488719137
SLCDTT163	6.070223615798144
SLCDTT164	6.031915603888849
SLCDTT165	5.335804741465307
SLCDTT169	4.371605415816859
SLCDTT170	6.21929223220607
SLCDTT171	4.9458252761947925
SLCDTT175	4.22369668441239
SLCDTT176	5.763069189400835
SLCDTT177	5.866257014761782
SLCdtt001	0.9594838061233311
SLCdtt002	5.732374635994254
SLCdtt003	4.017246031708005
SLCdtt007	4.65807362662436
SLCdtt008	5.895151721659386
SLCdtt009	4.444767764111433
SLCdtt013	6.402193075895288
SLCdtt014	3.4417267279005856
SLCdtt015	5.49676986299394
SLCdtt019	3.6150812000757817
SLCdtt020	6.044846852979104
SLCdtt021	5.2999075486368445
SLCdtt025	4.5173700092147335
SLCdtt026	6.11566997123379
SLCdtt027	6.019070576775208
SLCdtt031	4.903148401345262
SLCdtt032	4.97658812294979
SLCdtt033	5.775103870975203
SLCdtt037	4.974878897944749
SLCdtt038	5.860938300247939
SLCdtt039	4.268430920891678
SLCdtt044	5.037774880098065
SLCdtt045	2.522079058255319
SLCdtt050	5.704846001565001
SLCdtt051	4.797654922017836
SLCdtt055	3.2040049850702266
SLCdtt056	5.692635369745073
SLCdtt057	5.143133041875692
SLCdtt062	4.943177848489046
SLCdtt063	6.095296140446707
SLCdtt067	3.7584980847817775
SLCdtt068	5.9259065369595385
SLCdtt069	6.471587496647423
SLCdtt074	5.9583828854656025
SLCdtt075	4.927165393299215
SLCdtt079	4.597651048112729
SLCdtt080	6.411804096014951
SLCdtt081	4.749868569258677
SLCdtt087	4.423554509112443
SLCdtt091	4.1221698401881826
SLCdtt092	4.775946290849344
SLCdtt093	5.924638370290202
SLCdtt097	4.0013263794562635
SLCdtt098	3.257421434505318
SLCdtt099	2.9224879840827365
SLCdtt103	2.3514889767452476
SLCdtt105	4.506298023513675
SLCdtt109	4.523813486643168
SLCdtt110	5.803928322345861
SLCdtt111	5.9359845060111835
SLCdtt115	3.432439242547946
SLCdtt116	5.01036161666016
SLCdtt117	4.717281383765626
SLCdtt121	4.136757256447148
SLCdtt122	5.206593422172012
SLCdtt123	3.891695932797689
SLCdtt128	6.002863821639542
SLCdtt129	3.258526711895036
SLCdtt133	5.507394042440019
SLCdtt134	6.274078152852306
SLCdtt135	5.4452185604741885
SLCdtt139	3.3777643050548467
SLCdtt140	5.643482749245003
SLCdtt141	5.303723750159971
